"","year","age","maritl","race","education","health","wage_status"
"759",2005,31,"1. Never Married","1. White","4. College Grad","2. >=Very Good",0
"760",2007,56,"2. Married","3. Asian","4. College Grad","2. >=Very Good",1
"761",2006,44,"1. Never Married","1. White","4. College Grad","2. >=Very Good",1
"762",2003,33,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"763",2005,36,"1. Never Married","1. White","4. College Grad","2. >=Very Good",0
"764",2006,31,"2. Married","1. White","4. College Grad","2. >=Very Good",0
"765",2004,55,"2. Married","1. White","3. Some College","2. >=Very Good",1
"766",2005,48,"2. Married","1. White","4. College Grad","2. >=Very Good",0
"767",2005,50,"2. Married","1. White","3. Some College","2. >=Very Good",1
"768",2006,42,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"769",2008,25,"1. Never Married","1. White","3. Some College","2. >=Very Good",1
"770",2008,55,"2. Married","1. White","2. HS Grad","1. <=Good",1
"771",2004,28,"1. Never Married","1. White","5. Advanced Degree","2. >=Very Good",1
"772",2003,30,"2. Married","4. Other","1. < HS Grad","1. <=Good",1
"773",2008,46,"1. Never Married","2. Black","4. College Grad","2. >=Very Good",1
"774",2004,48,"4. Divorced","1. White","5. Advanced Degree","1. <=Good",1
"775",2006,42,"4. Divorced","1. White","3. Some College","2. >=Very Good",0
"776",2008,23,"2. Married","1. White","4. College Grad","2. >=Very Good",0
"777",2003,60,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"778",2008,34,"2. Married","2. Black","1. < HS Grad","2. >=Very Good",0
"779",2003,45,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"780",2007,28,"1. Never Married","1. White","3. Some College","1. <=Good",0
"781",2004,33,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"782",2008,58,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"783",2008,47,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"784",2003,24,"1. Never Married","1. White","3. Some College","2. >=Very Good",0
"785",2008,56,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"786",2004,56,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"787",2005,23,"1. Never Married","4. Other","4. College Grad","1. <=Good",0
"788",2003,56,"2. Married","1. White","5. Advanced Degree","1. <=Good",1
"789",2003,45,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"790",2009,58,"2. Married","1. White","3. Some College","2. >=Very Good",1
"791",2007,30,"2. Married","3. Asian","5. Advanced Degree","2. >=Very Good",1
"792",2009,46,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"793",2004,48,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"794",2006,50,"4. Divorced","1. White","2. HS Grad","1. <=Good",0
"795",2008,43,"1. Never Married","1. White","4. College Grad","2. >=Very Good",0
"796",2006,37,"2. Married","1. White","1. < HS Grad","2. >=Very Good",0
"797",2003,49,"4. Divorced","1. White","3. Some College","2. >=Very Good",1
"798",2009,31,"2. Married","3. Asian","4. College Grad","2. >=Very Good",1
"799",2009,54,"2. Married","3. Asian","2. HS Grad","2. >=Very Good",0
"800",2007,52,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"801",2003,70,"2. Married","1. White","2. HS Grad","1. <=Good",0
"802",2005,30,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"803",2006,44,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"804",2003,34,"2. Married","3. Asian","4. College Grad","2. >=Very Good",1
"805",2007,38,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"806",2006,28,"5. Separated","1. White","1. < HS Grad","1. <=Good",0
"807",2005,38,"2. Married","1. White","3. Some College","2. >=Very Good",1
"808",2003,39,"2. Married","1. White","2. HS Grad","1. <=Good",0
"809",2008,52,"1. Never Married","1. White","4. College Grad","1. <=Good",0
"810",2004,34,"1. Never Married","1. White","4. College Grad","2. >=Very Good",1
"811",2003,33,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"812",2007,45,"2. Married","1. White","4. College Grad","1. <=Good",1
"813",2006,58,"2. Married","1. White","2. HS Grad","1. <=Good",0
"814",2003,38,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"815",2007,63,"2. Married","1. White","4. College Grad","1. <=Good",0
"816",2007,38,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",0
"817",2007,31,"2. Married","1. White","3. Some College","2. >=Very Good",0
"818",2007,53,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"819",2009,21,"1. Never Married","2. Black","2. HS Grad","1. <=Good",1
"820",2006,38,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"821",2004,18,"1. Never Married","1. White","1. < HS Grad","1. <=Good",0
"822",2008,28,"1. Never Married","1. White","3. Some College","2. >=Very Good",0
"823",2003,33,"1. Never Married","1. White","4. College Grad","2. >=Very Good",1
"824",2004,32,"2. Married","1. White","3. Some College","2. >=Very Good",0
"825",2009,29,"1. Never Married","1. White","2. HS Grad","2. >=Very Good",0
"826",2005,28,"2. Married","1. White","1. < HS Grad","1. <=Good",0
"827",2005,42,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"828",2007,28,"3. Widowed","1. White","1. < HS Grad","1. <=Good",0
"829",2009,36,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"830",2007,47,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"831",2007,53,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"832",2003,48,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"833",2006,36,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"834",2007,55,"2. Married","1. White","3. Some College","2. >=Very Good",1
"835",2008,37,"2. Married","1. White","1. < HS Grad","1. <=Good",0
"836",2009,68,"2. Married","1. White","4. College Grad","1. <=Good",1
"837",2003,65,"2. Married","4. Other","2. HS Grad","2. >=Very Good",0
"838",2007,37,"1. Never Married","1. White","4. College Grad","2. >=Very Good",1
"839",2007,33,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"840",2003,19,"1. Never Married","1. White","2. HS Grad","2. >=Very Good",0
"841",2004,50,"2. Married","1. White","4. College Grad","2. >=Very Good",0
"842",2004,22,"1. Never Married","1. White","3. Some College","1. <=Good",0
"843",2004,40,"2. Married","1. White","3. Some College","2. >=Very Good",0
"844",2008,45,"2. Married","1. White","3. Some College","2. >=Very Good",1
"845",2009,36,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"846",2005,37,"2. Married","3. Asian","1. < HS Grad","2. >=Very Good",0
"847",2003,24,"1. Never Married","1. White","2. HS Grad","1. <=Good",0
"848",2007,66,"2. Married","2. Black","1. < HS Grad","2. >=Very Good",0
"849",2004,35,"2. Married","3. Asian","1. < HS Grad","1. <=Good",0
"850",2009,33,"1. Never Married","1. White","4. College Grad","2. >=Very Good",1
"851",2005,44,"2. Married","1. White","3. Some College","1. <=Good",1
"852",2004,48,"1. Never Married","1. White","3. Some College","2. >=Very Good",1
"853",2009,47,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"854",2004,41,"2. Married","1. White","3. Some College","2. >=Very Good",0
"855",2005,55,"2. Married","1. White","4. College Grad","2. >=Very Good",0
"856",2008,74,"4. Divorced","2. Black","5. Advanced Degree","2. >=Very Good",1
"857",2007,33,"1. Never Married","1. White","4. College Grad","2. >=Very Good",0
"858",2003,62,"2. Married","1. White","5. Advanced Degree","1. <=Good",1
"859",2004,56,"4. Divorced","1. White","2. HS Grad","1. <=Good",1
"860",2006,29,"1. Never Married","1. White","5. Advanced Degree","2. >=Very Good",0
"861",2009,56,"1. Never Married","2. Black","1. < HS Grad","1. <=Good",0
"862",2009,47,"2. Married","2. Black","5. Advanced Degree","2. >=Very Good",1
"863",2005,45,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"864",2007,44,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"865",2004,25,"1. Never Married","1. White","4. College Grad","2. >=Very Good",0
"866",2005,45,"4. Divorced","2. Black","3. Some College","2. >=Very Good",0
"867",2005,40,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"868",2003,56,"2. Married","1. White","2. HS Grad","1. <=Good",1
"869",2005,56,"2. Married","3. Asian","3. Some College","2. >=Very Good",0
"870",2003,47,"2. Married","3. Asian","4. College Grad","2. >=Very Good",1
"871",2007,39,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"872",2005,38,"2. Married","1. White","3. Some College","2. >=Very Good",1
"873",2009,48,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"874",2005,44,"2. Married","2. Black","2. HS Grad","1. <=Good",0
"875",2003,42,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"876",2009,55,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"877",2006,61,"1. Never Married","1. White","5. Advanced Degree","2. >=Very Good",0
"878",2006,39,"2. Married","1. White","2. HS Grad","1. <=Good",0
"879",2005,30,"2. Married","2. Black","3. Some College","2. >=Very Good",1
"880",2009,49,"4. Divorced","1. White","2. HS Grad","1. <=Good",0
"881",2006,33,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"882",2006,31,"2. Married","1. White","1. < HS Grad","1. <=Good",0
"883",2005,35,"1. Never Married","3. Asian","2. HS Grad","2. >=Very Good",0
"884",2003,55,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"885",2008,36,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"886",2003,37,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"887",2006,33,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"888",2006,48,"2. Married","1. White","2. HS Grad","1. <=Good",1
"889",2004,47,"2. Married","3. Asian","3. Some College","2. >=Very Good",1
"890",2003,60,"2. Married","1. White","3. Some College","1. <=Good",1
"891",2004,28,"1. Never Married","1. White","4. College Grad","1. <=Good",1
"892",2005,28,"2. Married","1. White","3. Some College","2. >=Very Good",1
"893",2005,48,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"894",2009,29,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"895",2004,40,"1. Never Married","1. White","2. HS Grad","1. <=Good",0
"896",2009,32,"1. Never Married","1. White","5. Advanced Degree","2. >=Very Good",1
"897",2004,33,"4. Divorced","1. White","2. HS Grad","2. >=Very Good",0
"898",2003,40,"4. Divorced","1. White","2. HS Grad","2. >=Very Good",1
"899",2004,42,"2. Married","1. White","3. Some College","2. >=Very Good",1
"900",2003,36,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"901",2004,39,"2. Married","2. Black","1. < HS Grad","1. <=Good",0
"902",2009,44,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"903",2009,43,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"904",2008,44,"2. Married","1. White","1. < HS Grad","2. >=Very Good",0
"905",2006,29,"2. Married","3. Asian","5. Advanced Degree","2. >=Very Good",0
"906",2007,49,"2. Married","2. Black","3. Some College","2. >=Very Good",1
"907",2007,47,"2. Married","2. Black","3. Some College","2. >=Very Good",1
"908",2004,46,"2. Married","3. Asian","5. Advanced Degree","2. >=Very Good",1
"909",2006,41,"4. Divorced","1. White","1. < HS Grad","2. >=Very Good",1
"910",2008,52,"2. Married","1. White","2. HS Grad","1. <=Good",0
"911",2003,43,"4. Divorced","1. White","2. HS Grad","2. >=Very Good",0
"912",2004,38,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"913",2003,42,"2. Married","1. White","3. Some College","2. >=Very Good",0
"914",2005,56,"2. Married","2. Black","4. College Grad","2. >=Very Good",1
"915",2003,39,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"916",2005,29,"2. Married","2. Black","3. Some College","2. >=Very Good",0
"917",2009,33,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"918",2004,33,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"919",2004,41,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"920",2004,44,"1. Never Married","2. Black","1. < HS Grad","1. <=Good",0
"921",2005,45,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"922",2004,58,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"923",2005,29,"2. Married","1. White","3. Some College","2. >=Very Good",1
"924",2004,42,"4. Divorced","1. White","2. HS Grad","2. >=Very Good",0
"925",2008,68,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"926",2005,47,"2. Married","1. White","5. Advanced Degree","1. <=Good",1
"927",2005,30,"2. Married","2. Black","4. College Grad","2. >=Very Good",0
"928",2005,39,"2. Married","1. White","1. < HS Grad","2. >=Very Good",0
"929",2008,42,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"930",2006,49,"2. Married","1. White","3. Some College","2. >=Very Good",1
"931",2009,36,"1. Never Married","1. White","2. HS Grad","1. <=Good",0
"932",2003,44,"2. Married","3. Asian","2. HS Grad","1. <=Good",1
"933",2009,54,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"934",2003,42,"2. Married","1. White","2. HS Grad","1. <=Good",0
"935",2003,39,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"936",2008,30,"2. Married","3. Asian","2. HS Grad","2. >=Very Good",0
"937",2004,33,"1. Never Married","2. Black","2. HS Grad","2. >=Very Good",0
"938",2003,28,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"939",2003,38,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"940",2005,30,"2. Married","4. Other","3. Some College","2. >=Very Good",0
"941",2008,25,"1. Never Married","1. White","5. Advanced Degree","2. >=Very Good",1
"942",2007,52,"2. Married","2. Black","2. HS Grad","2. >=Very Good",0
"943",2007,26,"2. Married","1. White","2. HS Grad","1. <=Good",0
"944",2009,54,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"945",2005,62,"2. Married","1. White","4. College Grad","2. >=Very Good",0
"946",2009,57,"2. Married","3. Asian","5. Advanced Degree","1. <=Good",1
"947",2003,32,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"948",2003,60,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"949",2004,40,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"950",2005,49,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"951",2006,54,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"952",2009,48,"1. Never Married","1. White","5. Advanced Degree","2. >=Very Good",1
"953",2009,35,"1. Never Married","1. White","1. < HS Grad","2. >=Very Good",0
"954",2009,46,"4. Divorced","1. White","2. HS Grad","1. <=Good",1
"955",2007,42,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"956",2004,58,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"957",2003,30,"1. Never Married","1. White","4. College Grad","2. >=Very Good",1
"958",2008,27,"1. Never Married","1. White","2. HS Grad","2. >=Very Good",0
"959",2008,55,"2. Married","1. White","1. < HS Grad","2. >=Very Good",1
"960",2004,50,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"961",2006,55,"4. Divorced","1. White","2. HS Grad","1. <=Good",1
"962",2006,40,"2. Married","1. White","3. Some College","2. >=Very Good",1
"963",2005,32,"2. Married","1. White","2. HS Grad","1. <=Good",1
"964",2006,27,"2. Married","1. White","2. HS Grad","1. <=Good",1
"965",2007,49,"2. Married","1. White","3. Some College","2. >=Very Good",1
"966",2007,50,"2. Married","1. White","4. College Grad","1. <=Good",1
"967",2006,50,"2. Married","1. White","1. < HS Grad","1. <=Good",0
"968",2008,44,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"969",2007,57,"2. Married","3. Asian","5. Advanced Degree","1. <=Good",1
"970",2008,72,"2. Married","2. Black","5. Advanced Degree","1. <=Good",0
"971",2006,23,"1. Never Married","1. White","1. < HS Grad","1. <=Good",0
"972",2007,31,"1. Never Married","1. White","5. Advanced Degree","2. >=Very Good",1
"973",2008,36,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"974",2009,63,"2. Married","2. Black","3. Some College","2. >=Very Good",1
"975",2006,48,"2. Married","1. White","1. < HS Grad","1. <=Good",0
"976",2005,46,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"977",2003,55,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"978",2007,44,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"979",2006,44,"2. Married","1. White","3. Some College","2. >=Very Good",0
"980",2004,32,"2. Married","4. Other","1. < HS Grad","1. <=Good",0
"981",2003,60,"2. Married","1. White","1. < HS Grad","2. >=Very Good",0
"982",2004,42,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"983",2009,48,"2. Married","2. Black","5. Advanced Degree","2. >=Very Good",1
"984",2008,36,"2. Married","1. White","1. < HS Grad","2. >=Very Good",0
"985",2009,31,"2. Married","1. White","2. HS Grad","1. <=Good",1
"986",2006,54,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"987",2007,29,"2. Married","1. White","3. Some College","2. >=Very Good",1
"988",2003,46,"4. Divorced","1. White","3. Some College","2. >=Very Good",1
"989",2003,35,"4. Divorced","1. White","2. HS Grad","2. >=Very Good",1
"990",2009,50,"2. Married","1. White","1. < HS Grad","1. <=Good",0
"991",2005,25,"2. Married","1. White","3. Some College","2. >=Very Good",0
"992",2005,33,"1. Never Married","1. White","3. Some College","1. <=Good",0
"993",2008,34,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"994",2006,51,"2. Married","2. Black","2. HS Grad","1. <=Good",0
"995",2004,33,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"996",2007,59,"2. Married","1. White","3. Some College","2. >=Very Good",1
"997",2006,62,"5. Separated","2. Black","1. < HS Grad","2. >=Very Good",0
"998",2005,28,"5. Separated","1. White","2. HS Grad","2. >=Very Good",0
"999",2008,40,"2. Married","1. White","3. Some College","1. <=Good",0
"1000",2003,52,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"1001",2007,29,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"1002",2007,34,"2. Married","1. White","1. < HS Grad","2. >=Very Good",0
"1003",2004,25,"1. Never Married","1. White","2. HS Grad","2. >=Very Good",0
"1004",2005,66,"2. Married","1. White","4. College Grad","2. >=Very Good",0
"1005",2005,43,"2. Married","1. White","2. HS Grad","1. <=Good",0
"1006",2007,45,"2. Married","2. Black","2. HS Grad","2. >=Very Good",0
"1007",2006,35,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"1008",2005,43,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"1009",2007,49,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"1010",2004,60,"1. Never Married","2. Black","1. < HS Grad","1. <=Good",0
"1011",2003,46,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"1012",2009,55,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"1013",2006,32,"2. Married","1. White","3. Some College","2. >=Very Good",1
"1014",2007,53,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"1015",2009,57,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"1016",2007,51,"2. Married","1. White","5. Advanced Degree","1. <=Good",1
"1017",2004,59,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"1018",2006,45,"2. Married","1. White","3. Some College","1. <=Good",1
"1019",2006,56,"1. Never Married","1. White","2. HS Grad","1. <=Good",0
"1020",2005,30,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"1021",2006,21,"1. Never Married","1. White","2. HS Grad","2. >=Very Good",0
"1022",2003,60,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"1023",2007,60,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"1024",2007,48,"4. Divorced","1. White","1. < HS Grad","2. >=Very Good",1
"1025",2003,39,"4. Divorced","1. White","4. College Grad","2. >=Very Good",0
"1026",2009,32,"1. Never Married","1. White","3. Some College","2. >=Very Good",1
"1027",2007,51,"2. Married","2. Black","5. Advanced Degree","2. >=Very Good",1
"1028",2006,47,"2. Married","1. White","4. College Grad","2. >=Very Good",0
"1029",2007,44,"2. Married","1. White","2. HS Grad","1. <=Good",0
"1030",2008,46,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"1031",2004,28,"1. Never Married","1. White","4. College Grad","2. >=Very Good",0
"1032",2003,24,"1. Never Married","1. White","4. College Grad","2. >=Very Good",0
"1033",2006,37,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"1034",2006,31,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"1035",2004,72,"2. Married","1. White","2. HS Grad","1. <=Good",0
"1036",2008,50,"2. Married","1. White","3. Some College","1. <=Good",1
"1037",2007,36,"2. Married","1. White","3. Some College","2. >=Very Good",1
"1038",2006,27,"1. Never Married","2. Black","2. HS Grad","2. >=Very Good",0
"1039",2009,27,"2. Married","1. White","3. Some College","2. >=Very Good",0
"1040",2004,41,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"1041",2008,20,"1. Never Married","1. White","3. Some College","2. >=Very Good",0
"1042",2008,49,"2. Married","2. Black","2. HS Grad","2. >=Very Good",0
"1043",2007,25,"1. Never Married","1. White","2. HS Grad","2. >=Very Good",0
"1044",2006,41,"2. Married","3. Asian","1. < HS Grad","1. <=Good",0
"1045",2009,53,"1. Never Married","1. White","2. HS Grad","1. <=Good",0
"1046",2009,45,"2. Married","1. White","4. College Grad","1. <=Good",1
"1047",2003,32,"2. Married","1. White","1. < HS Grad","2. >=Very Good",0
"1048",2005,47,"2. Married","1. White","3. Some College","2. >=Very Good",1
"1049",2003,26,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"1050",2009,31,"2. Married","2. Black","3. Some College","2. >=Very Good",1
"1051",2007,32,"2. Married","3. Asian","5. Advanced Degree","2. >=Very Good",1
"1052",2006,50,"4. Divorced","1. White","5. Advanced Degree","2. >=Very Good",1
"1053",2007,46,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"1054",2006,47,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"1055",2005,55,"2. Married","1. White","3. Some College","1. <=Good",1
"1056",2005,49,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"1057",2004,25,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"1058",2008,60,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"1059",2008,62,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"1060",2003,63,"5. Separated","2. Black","2. HS Grad","2. >=Very Good",1
"1061",2004,31,"1. Never Married","1. White","5. Advanced Degree","2. >=Very Good",1
"1062",2006,29,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"1063",2008,51,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"1064",2007,28,"2. Married","3. Asian","2. HS Grad","2. >=Very Good",0
"1065",2005,36,"1. Never Married","1. White","3. Some College","1. <=Good",1
"1066",2007,28,"1. Never Married","1. White","3. Some College","2. >=Very Good",0
"1067",2004,38,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"1068",2008,35,"2. Married","1. White","3. Some College","2. >=Very Good",0
"1069",2005,46,"4. Divorced","1. White","3. Some College","2. >=Very Good",1
"1070",2007,37,"2. Married","1. White","3. Some College","2. >=Very Good",0
"1071",2005,41,"4. Divorced","2. Black","3. Some College","2. >=Very Good",1
"1072",2006,59,"2. Married","2. Black","3. Some College","1. <=Good",0
"1073",2006,51,"2. Married","1. White","3. Some College","1. <=Good",1
"1074",2006,26,"1. Never Married","2. Black","2. HS Grad","2. >=Very Good",0
"1075",2003,34,"2. Married","2. Black","3. Some College","2. >=Very Good",0
"1076",2004,32,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"1077",2007,23,"1. Never Married","1. White","3. Some College","2. >=Very Good",0
"1078",2004,50,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"1079",2009,25,"1. Never Married","1. White","1. < HS Grad","2. >=Very Good",0
"1080",2004,43,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"1081",2009,36,"2. Married","2. Black","3. Some College","2. >=Very Good",1
"1082",2006,50,"2. Married","1. White","2. HS Grad","1. <=Good",0
"1083",2006,34,"5. Separated","2. Black","2. HS Grad","2. >=Very Good",1
"1084",2005,34,"1. Never Married","1. White","2. HS Grad","2. >=Very Good",1
"1085",2005,55,"2. Married","3. Asian","5. Advanced Degree","2. >=Very Good",1
"1086",2003,39,"2. Married","2. Black","2. HS Grad","1. <=Good",0
"1087",2004,40,"2. Married","1. White","1. < HS Grad","1. <=Good",0
"1088",2005,32,"2. Married","1. White","3. Some College","1. <=Good",1
"1089",2006,63,"2. Married","1. White","2. HS Grad","1. <=Good",1
"1090",2004,38,"1. Never Married","1. White","2. HS Grad","2. >=Very Good",1
"1091",2008,67,"2. Married","3. Asian","2. HS Grad","1. <=Good",0
"1092",2005,39,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"1093",2003,31,"2. Married","3. Asian","2. HS Grad","1. <=Good",0
"1094",2006,41,"1. Never Married","1. White","3. Some College","2. >=Very Good",1
"1095",2003,47,"2. Married","1. White","1. < HS Grad","2. >=Very Good",0
"1096",2009,61,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"1097",2005,61,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"1098",2008,21,"2. Married","4. Other","2. HS Grad","2. >=Very Good",0
"1099",2004,22,"1. Never Married","1. White","4. College Grad","1. <=Good",0
"1100",2003,53,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"1101",2004,47,"2. Married","1. White","4. College Grad","2. >=Very Good",0
"1102",2005,36,"2. Married","1. White","3. Some College","2. >=Very Good",1
"1103",2007,36,"1. Never Married","1. White","2. HS Grad","2. >=Very Good",0
"1104",2005,42,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"1105",2004,54,"4. Divorced","1. White","3. Some College","2. >=Very Good",1
"1106",2004,27,"2. Married","1. White","3. Some College","1. <=Good",0
"1107",2004,36,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"1108",2006,35,"1. Never Married","1. White","2. HS Grad","1. <=Good",0
"1109",2003,60,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"1110",2005,42,"5. Separated","1. White","2. HS Grad","1. <=Good",0
"1111",2008,41,"2. Married","2. Black","5. Advanced Degree","2. >=Very Good",1
"1112",2004,35,"1. Never Married","2. Black","3. Some College","1. <=Good",1
"1113",2006,34,"1. Never Married","2. Black","5. Advanced Degree","2. >=Very Good",1
"1114",2007,22,"1. Never Married","1. White","2. HS Grad","1. <=Good",0
"1115",2007,47,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"1116",2004,59,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"1117",2007,29,"1. Never Married","1. White","3. Some College","2. >=Very Good",1
"1118",2006,32,"1. Never Married","1. White","1. < HS Grad","2. >=Very Good",0
"1119",2003,49,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"1120",2009,30,"1. Never Married","1. White","3. Some College","2. >=Very Good",1
"1121",2003,33,"1. Never Married","3. Asian","2. HS Grad","1. <=Good",0
"1122",2007,51,"2. Married","1. White","2. HS Grad","1. <=Good",1
"1123",2003,37,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"1124",2003,46,"2. Married","1. White","3. Some College","2. >=Very Good",1
"1125",2007,63,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"1126",2005,41,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"1127",2005,40,"2. Married","1. White","2. HS Grad","1. <=Good",1
"1128",2007,46,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"1129",2005,45,"4. Divorced","1. White","2. HS Grad","2. >=Very Good",0
"1130",2008,48,"1. Never Married","1. White","4. College Grad","2. >=Very Good",1
"1131",2007,28,"2. Married","1. White","3. Some College","2. >=Very Good",0
